,Data,Algo,K,Train time (s),Predicting time (s),Recommending time (s),MAP,nDCG@k,Precision@k,Recall@k,param
1,100k,lightgcn,10,148.7743,,0.0958,0.11663978920200731,0.4065185864231507,0.35100742311770944,0.19070860742220255,"{'embed_size': 32, 'learning_rate': 0.0005, 'stacking_func': 0, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
2,100k,lightgcn,10,152.5774,,0.1166,0.12880877357196696,0.43585828335072346,0.3772004241781548,0.20696762271293637,"{'embed_size': 32, 'learning_rate': 0.0005, 'stacking_func': 1, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
3,100k,lightgcn,10,154.8535,,0.0854,0.05833965419475669,0.22307651933135658,0.19671261930010606,0.11801965792917056,"{'embed_size': 32, 'learning_rate': 0.0005, 'stacking_func': 1.5, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
4,100k,lightgcn,10,150.4041,,0.1286,0.1327675453296231,0.4405734561830394,0.37836691410392365,0.20689494824520824,"{'embed_size': 32, 'learning_rate': 0.001, 'stacking_func': 0, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
5,100k,lightgcn,10,154.1410,,0.0867,0.13542538000040658,0.45165268238922696,0.39384941675503715,0.21449357778934983,"{'embed_size': 32, 'learning_rate': 0.001, 'stacking_func': 1, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
6,100k,lightgcn,10,153.4375,,0.0846,0.05778440408774628,0.22345916114114076,0.1975609756097561,0.11816605288557241,"{'embed_size': 32, 'learning_rate': 0.001, 'stacking_func': 1.5, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
7,100k,lightgcn,10,152.8228,,0.1026,0.1429610300563369,0.46534445870978924,0.4024390243902439,0.2220739950173952,"{'embed_size': 32, 'learning_rate': 0.002, 'stacking_func': 0, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
8,100k,lightgcn,10,158.5667,,0.0974,0.12059786838299147,0.4159799828467729,0.36415694591728526,0.20080722965327483,"{'embed_size': 32, 'learning_rate': 0.002, 'stacking_func': 1, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
9,100k,lightgcn,10,157.1297,,0.0947,0.05798620144503864,0.2228326609405482,0.19660657476139978,0.11752626403961665,"{'embed_size': 32, 'learning_rate': 0.002, 'stacking_func': 1.5, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
10,100k,lightgcn,10,154.1365,,0.0943,0.12487405717345998,0.4252823745415942,0.3672322375397667,0.199520001967552,"{'embed_size': 64, 'learning_rate': 0.0005, 'stacking_func': 0, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
11,100k,lightgcn,10,155.0813,,0.0931,0.1422156173986117,0.4642457020368335,0.40402969247083775,0.22347207343572895,"{'embed_size': 64, 'learning_rate': 0.0005, 'stacking_func': 1, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
12,100k,lightgcn,10,153.3544,,0.1068,0.057803358115263305,0.22289016533140735,0.19681866383881233,0.11819255127212117,"{'embed_size': 64, 'learning_rate': 0.0005, 'stacking_func': 1.5, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
13,100k,lightgcn,10,156.7880,,0.0985,0.14352308894860524,0.46595279999922906,0.4024390243902439,0.22158617446959966,"{'embed_size': 64, 'learning_rate': 0.001, 'stacking_func': 0, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
14,100k,lightgcn,10,161.4882,,0.1004,0.13271712088464194,0.4472506481915413,0.3933191940615058,0.21209057870121953,"{'embed_size': 64, 'learning_rate': 0.001, 'stacking_func': 1, 'yaml_file': 'lightgcn.yaml', 'decay': 0.0001, 'epochs': 200, 'eval_epoch': 50}"
